iter	Passed	Remaining
0	1	113
1	2	119
2	3	116
3	4	110
4	5	108
5	6	105
6	7	105
7	9	103
8	10	102
9	11	101
10	12	99
11	13	98
12	14	96
13	15	94
14	16	93
15	17	91
16	18	90
17	19	89
18	20	87
19	21	86
20	22	85
21	23	84
22	24	83
23	25	82
24	27	81
25	28	80
26	29	79
27	30	78
28	31	77
29	32	76
30	33	75
31	34	74
32	36	73
33	37	71
34	38	70
35	39	69
36	40	68
37	41	67
38	42	67
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	58	50
54	59	48
55	60	47
56	61	46
57	62	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	34
69	76	32
70	77	31
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	86	24
78	87	23
79	88	22
80	89	21
81	90	19
82	91	18
83	92	17
84	93	16
85	95	15
86	96	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
