iter	Passed	Remaining
0	141	141027
1	142	71100
2	143	47753
3	144	36027
4	145	29007
5	146	24325
6	147	20969
7	148	18466
8	149	16506
9	150	14945
10	152	13700
11	153	12668
12	155	11786
13	156	11012
14	157	10333
15	158	9741
16	159	9220
17	160	8757
18	161	8348
19	162	7972
20	163	7638
21	165	7343
22	166	7060
23	167	6822
24	168	6589
25	170	6378
26	171	6174
27	172	5987
28	173	5813
29	174	5644
30	175	5491
31	176	5348
32	178	5216
33	179	5091
34	180	4973
35	181	4859
36	182	4758
37	184	4669
38	185	4573
39	186	4481
40	187	4393
41	188	4308
42	190	4229
43	191	4151
44	192	4078
45	193	4009
46	194	3945
47	195	3879
48	196	3819
49	198	3764
50	199	3708
51	200	3654
52	201	3600
53	202	3548
54	203	3499
55	204	3452
56	205	3404
57	206	3361
58	208	3318
59	209	3275
60	210	3234
61	211	3198
62	212	3163
63	213	3129
64	215	3095
65	216	3061
66	217	3028
67	218	2996
68	219	2965
69	221	2938
70	222	2910
71	223	2880
72	224	2851
73	225	2824
74	226	2799
75	228	2774
76	229	2750
77	230	2724
78	231	2699
79	232	2675
80	233	2652
81	234	2627
82	235	2600
83	236	2578
84	237	2556
85	238	2534
86	239	2514
87	240	2495
88	242	2479
89	243	2462
90	244	2442
91	245	2423
92	246	2403
93	247	2385
94	248	2368
95	249	2352
96	250	2334
97	251	2317
98	252	2300
99	253	2284
100	254	2268
101	256	2256
102	257	2245
103	258	2231
104	260	2216
105	261	2201
106	262	2187
107	263	2172
108	264	2159
109	265	2145
110	266	2132
111	267	2119
112	268	2105
113	269	2092
114	270	2079
115	272	2073
116	272	2060
117	274	2048
118	275	2035
119	276	2024
120	277	2012
121	277	1999
122	278	1988
123	279	1977
124	280	1966
125	281	1955
126	282	1943
127	283	1933
128	284	1922
129	286	1914
130	287	1906
131	288	1897
132	289	1887
133	290	1877
134	291	1868
135	292	1858
136	293	1849
137	294	1839
138	295	1830
139	296	1821
140	297	1812
141	298	1801
142	299	1792
143	300	1784
144	301	1777
145	302	1770
146	303	1762
147	304	1754
148	305	1747
149	306	1739
150	307	1731
151	308	1723
152	309	1715
153	310	1707
154	311	1700
155	312	1692
156	313	1685
157	314	1678
158	316	1674
159	317	1668
160	318	1659
161	319	1654
162	320	1647
163	321	1640
164	322	1633
165	323	1627
166	324	1620
167	325	1613
168	326	1607
169	327	1600
170	329	1595
171	330	1589
172	331	1585
173	332	1580
174	333	1574
